brewery_id,brewery_name,lat,lng,address
24132,Browar Kormoran,53.762089,20.4847149,"Aleja Generała Władysława Sikorskiego 2, 10-959 Olsztyn, Poland"
8611,Melchers Group,36.125569,-86.804642,"2500 21st Ave S, Nashville, TN 37212, USA"
23110,Croce Di Malto,45.4338404,8.741110599999999,"Corso Roma, 51A, 28069 Trecate NO, Italy"
935,Darwin Brewery Ltd.,27.4841873,-82.5703667,"803 17th Ave W, Bradenton, FL 34205, USA"
1797,Hofbrauhaus Berchtesgaden,47.63447,13.00716,"Bräuhausstraße 15, 83471 Berchtesgaden, Germany"
7285,Brauerei Ried,48.212507,13.4885054,"Brauhausgasse 24, 4910 Ried im Innkreis, Austria"
813,Les Brasseurs de Gayant,50.35565010000001,3.0832998,"63 Rue du Faubourg de Paris, 59500 Douai, France"
14609,Craig Street Brew Pub,48.777183,-123.708402,"25 Craig St, Duncan, BC V9L 1V7, Canada"
15191,Allendale Brew Company Limited,42.9728171,-85.9351257,"6035 Lake Michigan Dr, Allendale, MI 49401, USA"
23394,Robinsons Family Brewers,,,
24355,Three Heads Brewing,43.1561826,-77.5795959,"186 Atlantic Ave, Rochester, NY 14607, USA"
711,Alley Kat Brewing Company,53.49527819999999,-113.4881218,"9929 60 Ave NW, Edmonton, AB T6E 0C7, Canada"
5817,Brauerei Georg Michael GmbH,,,
22466,Northshire Brewery,42.8847421,-73.2011236,"108 County St, Bennington, VT 05201, USA"
16590,Pivovar Rakovnik,50.1062452,13.726886,"Havlíčkova 69, 269 01 Rakovník, Czechia"
12222,Bere Trei Stejari,45.792436,24.1630937,"Three Oaks, Sibiu, Romania"
12623,Guangzhou Zhujiang Brewery Co. Ltd.,23.1050421,113.3423408,"118 Modiesha St, Haizhu Qu, Guangzhou Shi, Guangdong Sheng, China"
11841,SchnuckenbrÃ¤u,,,
483,Grans Bryggeri AS,59.1295625,10.2419672,"Hegnasletta 4, 3217 Sandefjord, Norway"
19362,Zago S.r.l.,45.563906,11.819624,"Via delle Indipendenza, 1, 35010 Campo S. Martino PD, Italy"
22564,Odd Side Ales,43.0646785,-86.2328527,"41 Washington Ave STE 160, Grand Haven, MI 49417, USA"
18591,Blue Tractor BBQ & Brewery,42.2806472,-83.7469083,"207 E Washington St, Ann Arbor, MI 48104, USA"
24392,Via Priula,45.8330793,9.6655155,"Via de Medici, 2, 24016 San Pellegrino Terme BG, Italy"
15218,C.B. & Potts,40.5377569,-105.0511128,"1441 E Horsetooth Rd, Fort Collins, CO 80525, USA"
5910,Jamesport Brewing Company Inc.,43.9521387,-86.44793299999999,"410 S James St, Ludington, MI 49431, USA"
7485,Pivovoar Branik,50.0297353,14.409366,"1, Údolní 212, 147 00 Praha 4, Czechia"
3717,Micro-Brasserie L'Alchimiste,46.0064013,-73.4443502,"681 Rue Marion, Joliette, QC J6E 8S3, Canada"
