Status,Beer_Beerid
Retired (no longer brewed),11636
Retired (no longer brewed),24639
Retired (no longer brewed),11642
Retired (no longer brewed),11638
Year-round,59024
Year-round,62695
Rotating/Seasonal,76453
Retired (no longer brewed),27861
Retired (no longer brewed),19140
Year-round,75036
Rotating/Seasonal,75031
Retired (no longer brewed),75030
Year-round,75032
Rotating/Seasonal,75029
Retired (no longer brewed),26079
Year-round,49075
Retired (no longer brewed),37619
Year-round,74435
Retired (no longer brewed),74556
Retired (no longer brewed),30226
Rotating/Seasonal,30222
Year-round,50005
Retired (no longer brewed),76324
Retired (no longer brewed),24244
Year-round,49949
Year-round,50131
Rotating/Seasonal,50083
Year-round,26030
Retired (no longer brewed),54810
Retired (no longer brewed),61681
Rotating/Seasonal,73129
Retired (no longer brewed),8889
Retired (no longer brewed),29426
Retired (no longer brewed),70510
Retired (no longer brewed),6137
Retired (no longer brewed),8202
Retired (no longer brewed),12969
Retired (no longer brewed),24374
Retired (no longer brewed),10542
Retired (no longer brewed),10515
Retired (no longer brewed),18025
Year-round,61989
Retired (no longer brewed),29427
Retired (no longer brewed),39061
Retired (no longer brewed),39062
Retired (no longer brewed),1057
Retired (no longer brewed),29423
Year-round,58011
Year-round,51847
Year-round,51848
Year-round,51846
Year-round,73834
Year-round,73833
Retired (no longer brewed),39673
Year-round,50810
Year-round,16815
Rotating/Seasonal,74810
Retired (no longer brewed),8420
Retired (no longer brewed),41396
Retired (no longer brewed),30006
Retired (no longer brewed),34960
Rotating/Seasonal,53897
Rotating/Seasonal,60245
Year-round,60994
Rotating/Seasonal,76262
Retired (no longer brewed),49066
Retired (no longer brewed),61396
Retired (no longer brewed),40822
Retired (no longer brewed),47599
Rotating/Seasonal,52629
Retired (no longer brewed),32548
Retired (no longer brewed),32545
Retired (no longer brewed),29669
Retired (no longer brewed),11414
Retired (no longer brewed),41207
Retired (no longer brewed),29668
Retired (no longer brewed),17773
Retired (no longer brewed),38517
Rotating/Seasonal,65027
Rotating/Seasonal,44736
Retired (no longer brewed),43212
Retired (no longer brewed),38266
Year-round,73985
Year-round,55616
Retired (no longer brewed),18648
Year-round,73989
Year-round,55414
Retired (no longer brewed),43502
Retired (no longer brewed),43479
Retired (no longer brewed),43478
Retired (no longer brewed),34440
Rotating/Seasonal,64813
Year-round,71576
Year-round,65445
Retired (no longer brewed),15819
Year-round,67659
Year-round,68488
Year-round,67658
Year-round,68490
Rotating/Seasonal,77034
Year-round,64755
Year-round,70527
Rotating/Seasonal,60411
Retired (no longer brewed),18048
Year-round,60105
Rotating/Seasonal,54991
Rotating/Seasonal,60014
Retired (no longer brewed),30231
Retired (no longer brewed),29964
Year-round,32715
Rotating/Seasonal,73028
Year-round,63689
Rotating/Seasonal,75883
Retired (no longer brewed),60973
Retired (no longer brewed),51315
Retired (no longer brewed),58801
Retired (no longer brewed),34506
Retired (no longer brewed),60975
Retired (no longer brewed),61908
Retired (no longer brewed),42864
Retired (no longer brewed),41628
Retired (no longer brewed),51314
Retired (no longer brewed),55589
Retired (no longer brewed),25748
Retired (no longer brewed),7107
Retired (no longer brewed),37080
Retired (no longer brewed),29940
Retired (no longer brewed),71825
Retired (no longer brewed),75783
Retired (no longer brewed),69934
Retired (no longer brewed),56127
Retired (no longer brewed),50923
Retired (no longer brewed),54886
Retired (no longer brewed),60278
Retired (no longer brewed),57277
Retired (no longer brewed),57278
Retired (no longer brewed),69783
Retired (no longer brewed),47498
Year-round,13167
Retired (no longer brewed),42552
Retired (no longer brewed),41193
Retired (no longer brewed),7452
Retired (no longer brewed),13160
Retired (no longer brewed),39424
Year-round,13162
Retired (no longer brewed),7453
Retired (no longer brewed),43192
Retired (no longer brewed),46632
Retired (no longer brewed),2071
Retired (no longer brewed),59696
Retired (no longer brewed),58403
Year-round,52391
Retired (no longer brewed),27048
Retired (no longer brewed),24890
Rotating/Seasonal,46350
Retired (no longer brewed),22587
Retired (no longer brewed),69523
Year-round,69389
Rotating/Seasonal,73142
Year-round,44423
Rotating/Seasonal,76849
Year-round,49088
Year-round,44403
Rotating/Seasonal,59567
Year-round,67787
Retired (no longer brewed),31936
Retired (no longer brewed),39328
Retired (no longer brewed),48284
Rotating/Seasonal,76862
Rotating/Seasonal,76860
Rotating/Seasonal,70461
Retired (no longer brewed),70727
Rotating/Seasonal,70462
Rotating/Seasonal,76851
Rotating/Seasonal,73713
Rotating/Seasonal,70459
Rotating/Seasonal,76861
Rotating/Seasonal,72664
Rotating/Seasonal,70455
Rotating/Seasonal,76850
Rotating/Seasonal,70454
Rotating/Seasonal,70933
Rotating/Seasonal,70432
Rotating/Seasonal,70460
Rotating/Seasonal,70234
Rotating/Seasonal,72657
Rotating/Seasonal,76858
Rotating/Seasonal,72659
Rotating/Seasonal,76852
Rotating/Seasonal,72658
Rotating/Seasonal,70458
Rotating/Seasonal,70425
Rotating/Seasonal,76863
Year-round,60586
Retired (no longer brewed),42423
Retired (no longer brewed),47838
Retired (no longer brewed),66044
Retired (no longer brewed),66043
Retired (no longer brewed),35918
Retired (no longer brewed),25672
Retired (no longer brewed),19239
Rotating/Seasonal,25674
Rotating/Seasonal,67039
Rotating/Seasonal,25675
Retired (no longer brewed),25673
Retired (no longer brewed),26337
Retired (no longer brewed),16261
Retired (no longer brewed),27995
Retired (no longer brewed),27910
Retired (no longer brewed),26474
Rotating/Seasonal,37628
Retired (no longer brewed),40249
Year-round,61237
Year-round,60501
Year-round,60340
Retired (no longer brewed),23457
Retired (no longer brewed),64109
Retired (no longer brewed),72176
Year-round,71474
Retired (no longer brewed),64004
Rotating/Seasonal,48789
Retired (no longer brewed),16994
Retired (no longer brewed),77248
Rotating/Seasonal,61209
Retired (no longer brewed),56565
Retired (no longer brewed),66425
Retired (no longer brewed),52755
Rotating/Seasonal,45004
Retired (no longer brewed),68279
Retired (no longer brewed),73832
Retired (no longer brewed),75482
Retired (no longer brewed),64026
Retired (no longer brewed),69236
Retired (no longer brewed),75864
Retired (no longer brewed),75677
Retired (no longer brewed),74166
Retired (no longer brewed),23099
Retired (no longer brewed),60741
Retired (no longer brewed),73110
Retired (no longer brewed),54096
Retired (no longer brewed),69112
Retired (no longer brewed),72925
Retired (no longer brewed),69235
Retired (no longer brewed),71955
Rotating/Seasonal,76522
Rotating/Seasonal,69132
Rotating/Seasonal,72731
Year-round,75760
Retired (no longer brewed),11330
Retired (no longer brewed),13841
Retired (no longer brewed),13840
Retired (no longer brewed),11329
Retired (no longer brewed),13982
Retired (no longer brewed),13487
Retired (no longer brewed),17335
Year-round,55046
Year-round,49254
Year-round,67788
Year-round,42867
Rotating/Seasonal,36570
Retired (no longer brewed),33441
Retired (no longer brewed),34859
Retired (no longer brewed),23104
Retired (no longer brewed),23103
Retired (no longer brewed),36535
Retired (no longer brewed),23101
Retired (no longer brewed),42666
Retired (no longer brewed),23106
Retired (no longer brewed),43234
Retired (no longer brewed),23110
Retired (no longer brewed),42405
Year-round,49065
Year-round,74196
Retired (no longer brewed),16299
Retired (no longer brewed),19872
Year-round,75758
Year-round,75759
Rotating/Seasonal,75763
Rotating/Seasonal,75764
Year-round,75762
Rotating/Seasonal,75761
Year-round,75755
Year-round,75757
Retired (no longer brewed),16302
Retired (no longer brewed),16301
Retired (no longer brewed),16306
Retired (no longer brewed),37511
Rotating/Seasonal,46746
Retired (no longer brewed),37513
Retired (no longer brewed),40985
Year-round,16325
Retired (no longer brewed),33142
Retired (no longer brewed),16316
Retired (no longer brewed),16293
Retired (no longer brewed),16284
Retired (no longer brewed),16310
Rotating/Seasonal,45003
Retired (no longer brewed),16328
Retired (no longer brewed),16300
Retired (no longer brewed),29517
Retired (no longer brewed),16307
Retired (no longer brewed),29816
Year-round,22971
Retired (no longer brewed),22974
Retired (no longer brewed),13207
Retired (no longer brewed),38024
Retired (no longer brewed),37613
Rotating/Seasonal,64875
Retired (no longer brewed),58655
Retired (no longer brewed),67313
Retired (no longer brewed),5321
Year-round,31916
Retired (no longer brewed),39656
Retired (no longer brewed),39655
Year-round,31917
Retired (no longer brewed),58656
Retired (no longer brewed),76113
Retired (no longer brewed),76947
Year-round,49148
Retired (no longer brewed),23088
Retired (no longer brewed),62578
Retired (no longer brewed),26518
Retired (no longer brewed),23083
Retired (no longer brewed),23087
Retired (no longer brewed),22685
Retired (no longer brewed),48174
Rotating/Seasonal,48173
Retired (no longer brewed),69237
Retired (no longer brewed),22056
Retired (no longer brewed),64976
Retired (no longer brewed),2627
Rotating/Seasonal,71036
Retired (no longer brewed),35753
Year-round,74650
Year-round,64801
Retired (no longer brewed),17694
Rotating/Seasonal,71135
Year-round,54754
Retired (no longer brewed),40823
Year-round,77295
Year-round,17690
Year-round,55073
Year-round,66709
Year-round,57667
Retired (no longer brewed),37187
Retired (no longer brewed),17668
Retired (no longer brewed),20529
Retired (no longer brewed),8150
Retired (no longer brewed),8148
Retired (no longer brewed),8149
Retired (no longer brewed),8151
Retired (no longer brewed),8147
Year-round,18409
Year-round,18412
