Status,Beer_Beerid
Retired (no longer brewed),27136
Retired (no longer brewed),39739
Year-round,64251
Year-round,72576
Year-round,72573
Year-round,72575
Retired (no longer brewed),16841
Retired (no longer brewed),13280
Retired (no longer brewed),11441
Retired (no longer brewed),8925
Rotating/Seasonal,72286
Retired (no longer brewed),46419
Retired (no longer brewed),29850
Retired (no longer brewed),46421
Retired (no longer brewed),36363
Retired (no longer brewed),29149
Retired (no longer brewed),41517
Retired (no longer brewed),22019
Retired (no longer brewed),19135
Retired (no longer brewed),70041
Retired (no longer brewed),66495
Retired (no longer brewed),64353
Rotating/Seasonal,59516
Year-round,63824
Year-round,65892
Retired (no longer brewed),64587
Rotating/Seasonal,73875
Retired (no longer brewed),63820
Retired (no longer brewed),69212
Retired (no longer brewed),64450
Retired (no longer brewed),75893
Year-round,70071
Retired (no longer brewed),64197
Retired (no longer brewed),62169
Retired (no longer brewed),25819
Retired (no longer brewed),23587
Retired (no longer brewed),41895
Rotating/Seasonal,57936
Rotating/Seasonal,52687
Retired (no longer brewed),57830
Retired (no longer brewed),23586
Year-round,47504
Retired (no longer brewed),26848
Retired (no longer brewed),8213
Rotating/Seasonal,55521
Retired (no longer brewed),74897
Retired (no longer brewed),34957
Retired (no longer brewed),34672
Year-round,36830
Year-round,54934
Retired (no longer brewed),65758
Retired (no longer brewed),54927
Retired (no longer brewed),69957
Year-round,74618
Retired (no longer brewed),67459
Year-round,54936
Retired (no longer brewed),49677
Rotating/Seasonal,51441
Rotating/Seasonal,74348
Retired (no longer brewed),22933
Year-round,67208
Year-round,70787
Year-round,48987
Retired (no longer brewed),65850
Retired (no longer brewed),61718
Retired (no longer brewed),23196
Retired (no longer brewed),9454
Year-round,12818
Retired (no longer brewed),8190
Retired (no longer brewed),57095
Retired (no longer brewed),73288
Retired (no longer brewed),74276
Rotating/Seasonal,51174
Year-round,61890
Retired (no longer brewed),42925
Retired (no longer brewed),50397
Retired (no longer brewed),50427
Retired (no longer brewed),50527
Retired (no longer brewed),32148
Retired (no longer brewed),9621
Retired (no longer brewed),9622
Retired (no longer brewed),37337
Retired (no longer brewed),61220
Retired (no longer brewed),10354
Retired (no longer brewed),41417
Retired (no longer brewed),38690
Retired (no longer brewed),36242
Rotating/Seasonal,70729
Rotating/Seasonal,70695
Retired (no longer brewed),20648
Year-round,46648
Retired (no longer brewed),56667
Retired (no longer brewed),76275
Year-round,72075
Rotating/Seasonal,76126
Year-round,75427
Retired (no longer brewed),15273
Retired (no longer brewed),30732
Retired (no longer brewed),65496
